timestamp,source,path,value,unit
2026-01-01T12:00:00Z,synthetic,navigation.position.latitude,34.0000,deg
2026-01-01T12:00:00Z,synthetic,navigation.position.longitude,-72.0000,deg
2026-01-01T12:00:00Z,synthetic,electrical.batteries.house.voltage,12.74,V
2026-01-01T12:00:00Z,synthetic,electrical.batteries.engine.voltage,12.68,V
2026-01-01T12:00:00Z,synthetic,environment.water.temperature,28.0,C
2026-01-01T12:00:00Z,synthetic,environment.depth.belowTransducer,4.8,m
2026-01-01T12:00:00Z,synthetic,navigation.speedOverGround,0.42,m/s
2026-01-01T12:00:00Z,synthetic,navigation.headingTrue,1.57,rad
2026-01-01T12:00:00Z,synthetic,propulsion.engine.0.revolutions,650,rpm
2026-01-01T12:00:00Z,synthetic,tanks.fuel.currentLevel,0.62,ratio
2026-01-01T12:00:01Z,synthetic,navigation.position.latitude,34.0000,deg
2026-01-01T12:00:01Z,synthetic,navigation.position.longitude,-72.0000,deg
2026-01-01T12:00:01Z,synthetic,electrical.batteries.house.voltage,12.73,V
2026-01-01T12:00:01Z,synthetic,electrical.batteries.engine.voltage,12.68,V
2026-01-01T12:00:01Z,synthetic,environment.water.temperature,28.0,C
2026-01-01T12:00:01Z,synthetic,environment.depth.belowTransducer,4.8,m
2026-01-01T12:00:01Z,synthetic,navigation.speedOverGround,0.39,m/s
2026-01-01T12:00:01Z,synthetic,navigation.headingTrue,1.58,rad
2026-01-01T12:00:01Z,synthetic,propulsion.engine.0.revolutions,648,rpm
2026-01-01T12:00:01Z,synthetic,tanks.fuel.currentLevel,0.62,ratio
2026-01-01T12:00:02Z,synthetic,navigation.position.latitude,34.0000,deg
2026-01-01T12:00:02Z,synthetic,navigation.position.longitude,-72.0000,deg
2026-01-01T12:00:02Z,synthetic,electrical.batteries.house.voltage,12.73,V
2026-01-01T12:00:02Z,synthetic,electrical.batteries.engine.voltage,12.67,V
2026-01-01T12:00:02Z,synthetic,environment.water.temperature,28.0,C
2026-01-01T12:00:02Z,synthetic,environment.depth.belowTransducer,4.7,m
2026-01-01T12:00:02Z,synthetic,navigation.speedOverGround,0.35,m/s
2026-01-01T12:00:02Z,synthetic,navigation.headingTrue,1.59,rad
2026-01-01T12:00:02Z,synthetic,propulsion.engine.0.revolutions,646,rpm
2026-01-01T12:00:02Z,synthetic,tanks.fuel.currentLevel,0.62,ratio
